"filename", "language", "Markdown", "JSON", "Ignore", "PlantUML", "YAML", "PowerShell", "Docker", "Shell Script", "JavaScript", "Properties", "TypeScript", "pip requirements", "JSON with Comments", "TypeScript JSX", "HTML", "Python", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\ignas\Training_Plans\docs\backend_models_class_diagram.puml", "PlantUML", 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 413
"c:\Users\ignas\Training_Plans\docs\component_diagram.puml", "PlantUML", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 187
"c:\Users\ignas\Training_Plans\docs\db_schema.puml", "PlantUML", 0, 0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 392
"c:\Users\ignas\Training_Plans\docs\use_cases.puml", "PlantUML", 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 34, 361
"c:\Users\ignas\Training_Plans\docs\use_cases\00_overview.puml", "PlantUML", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\ignas\Training_Plans\docs\use_cases\01_authentication.puml", "PlantUML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\ignas\Training_Plans\docs\use_cases\02_user_profile.puml", "PlantUML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\ignas\Training_Plans\docs\use_cases\03_organization.puml", "PlantUML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\ignas\Training_Plans\docs\use_cases\04_activity.puml", "PlantUML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\ignas\Training_Plans\docs\use_cases\05_calendar.puml", "PlantUML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
